Date,Value
11/10/2021 15:29,2.7
11/10/2021 16:29,2
11/10/2021 17:29,1.1
11/10/2021 18:29,1.8
11/10/2021 19:29,1.6
11/10/2021 20:29,0.4
11/10/2021 21:29,1
11/10/2021 22:29,1.8
11/10/2021 23:29,1.3
11/11/2021 0:29,1.1
11/11/2021 1:29,0.9
11/11/2021 2:29,1.1
11/11/2021 3:29,1.4
11/11/2021 4:29,2
11/11/2021 5:29,2
11/11/2021 6:29,2.4
11/11/2021 7:29,4.9
11/11/2021 8:29,6.2
11/11/2021 9:29,7.5
11/11/2021 10:29,8.2
11/11/2021 11:29,7.8
11/11/2021 12:29,7.6
11/11/2021 13:29,6.7
11/11/2021 14:29,5.6
11/11/2021 15:29,5.2
11/11/2021 16:29,4.2
11/11/2021 17:29,3.9
11/11/2021 18:29,4
11/11/2021 19:29,4.3
11/11/2021 20:29,4.5
11/11/2021 21:29,5.3
11/11/2021 22:29,6
11/11/2021 23:29,6.2
11/12/2021 0:29,6.6
11/12/2021 1:29,6.7
11/12/2021 2:29,7
11/12/2021 3:29,5.3
11/12/2021 4:29,5.2
11/12/2021 5:29,4.8
11/12/2021 6:29,5
11/12/2021 7:29,12.8
11/12/2021 9:29,8.8
11/12/2021 10:29,15.2
11/12/2021 11:29,22.2
11/12/2021 12:29,18.5
11/12/2021 13:29,9.1
11/12/2021 14:29,4.6
11/12/2021 15:29,2.7
11/12/2021 16:29,1.9
11/12/2021 17:29,1.7
11/12/2021 18:29,1.4
11/12/2021 19:29,-0.3
11/12/2021 20:29,0.8
11/12/2021 21:29,1.7
11/12/2021 22:29,0.2
11/12/2021 23:29,0
11/13/2021 0:29,-0.7
11/13/2021 1:29,1.4
11/13/2021 2:29,1.9
11/13/2021 3:29,2.1
11/13/2021 4:29,2.2
11/13/2021 5:29,2.7
11/13/2021 6:29,3.4
11/13/2021 7:29,4
11/13/2021 8:29,4.3
11/13/2021 9:29,6.2
11/13/2021 10:29,6.4
11/13/2021 11:29,11.1
11/13/2021 12:29,5.5
11/13/2021 13:29,5.7
11/13/2021 14:29,4
11/13/2021 16:29,3.7
11/13/2021 17:29,3.5
11/13/2021 18:29,3.5
11/13/2021 19:29,3.6
11/13/2021 20:29,3.7
11/13/2021 21:29,3.7
11/13/2021 22:29,3.7
11/13/2021 23:29,3.7
11/14/2021 0:29,3.7
11/14/2021 1:29,3.6
11/14/2021 2:29,3.5
11/14/2021 3:29,3.4
11/14/2021 4:29,3.3
11/14/2021 5:29,3.2
11/14/2021 6:29,3.3
11/14/2021 7:29,3.7
11/14/2021 8:29,3.9
11/14/2021 10:29,4.1
11/14/2021 11:29,4.1
11/14/2021 12:29,3.9
11/14/2021 13:29,3.7
11/14/2021 14:29,3.3
11/14/2021 15:29,3.1
11/14/2021 16:29,3.1
11/14/2021 17:29,2.8
11/14/2021 18:29,2.6
11/14/2021 19:29,2.2
11/14/2021 20:29,2.1
11/14/2021 21:29,2.2
11/14/2021 22:29,2
11/14/2021 23:29,1.7
11/15/2021 0:29,1.6
11/15/2021 1:29,1.4
11/15/2021 2:29,1.2
11/15/2021 3:29,0.8
11/15/2021 4:29,0.5
11/15/2021 5:29,0.4
11/15/2021 6:29,0.6
11/15/2021 7:29,1
11/15/2021 8:29,1.5
11/15/2021 9:29,1.7
11/15/2021 10:29,2
11/15/2021 11:29,1.9
11/15/2021 12:29,1.5
11/15/2021 13:29,1
11/15/2021 14:29,0.7
11/15/2021 15:29,0.5
11/15/2021 16:29,0.4
11/15/2021 17:29,0.5
11/15/2021 18:29,0.7
11/15/2021 19:29,0.9
11/15/2021 21:29,1.2
11/15/2021 22:29,1.2
11/15/2021 23:29,1.2
11/16/2021 0:29,1.3
11/16/2021 1:29,1.3
11/16/2021 2:29,1.1
11/16/2021 3:29,1
11/16/2021 4:29,1
11/16/2021 5:29,1
11/16/2021 6:29,1
11/16/2021 7:29,1.4
11/16/2021 8:29,2.2
11/16/2021 9:29,2.4
11/16/2021 10:29,2.3
11/16/2021 11:29,2.5
11/16/2021 12:29,2.5
11/16/2021 13:29,2.4
11/16/2021 14:29,2.3
11/16/2021 15:29,2.3
11/16/2021 16:29,2.2
11/16/2021 17:29,2.2
11/16/2021 18:29,2.2
11/16/2021 19:29,2.2
11/16/2021 20:29,2.3
11/16/2021 21:29,2.3
11/16/2021 22:29,2.4
11/16/2021 23:29,2.5
11/17/2021 0:29,2.6
11/17/2021 1:29,2.8
11/17/2021 2:29,2.8
11/17/2021 3:29,3
11/17/2021 4:29,3
11/17/2021 5:29,3.1
11/17/2021 6:29,3.2
11/17/2021 8:29,3.7
11/17/2021 9:29,3.9
11/17/2021 10:29,4.5
11/17/2021 11:29,4.1
11/17/2021 12:29,3.6
11/17/2021 13:29,3.5
11/17/2021 14:29,3.2
11/17/2021 15:29,3.1
11/17/2021 16:29,3
11/17/2021 17:29,2.8
11/17/2021 18:29,2.7
11/17/2021 19:29,2.7
11/17/2021 20:29,2.5
11/17/2021 21:29,2.7
11/17/2021 22:29,2.6
11/17/2021 23:29,2.3
11/18/2021 0:29,2.2
11/18/2021 1:29,2.2
11/18/2021 2:29,2.5
11/18/2021 3:29,2.9
11/18/2021 4:29,3
11/18/2021 5:29,3.7
11/18/2021 6:29,4.4
11/18/2021 7:29,5.1
11/18/2021 8:29,7.1
11/18/2021 9:29,6.1
11/18/2021 10:29,6.2
11/18/2021 11:29,7.8
11/18/2021 12:29,8.8
11/18/2021 13:29,5.8
11/18/2021 14:29,4.9
11/18/2021 15:29,4.6
11/18/2021 16:29,4.8
11/18/2021 17:29,2.9
11/18/2021 18:29,4.4
11/18/2021 19:29,5
11/18/2021 20:29,4.8
11/18/2021 21:29,4.4
11/18/2021 22:29,4.3
11/18/2021 23:29,4.4
11/19/2021 0:29,4.9
11/19/2021 1:29,5.4
11/19/2021 2:29,6
